CookerStat, GenerateAssetRegistry=0.025053, Initialize=0.130404, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_918A08DC44D53ED159EBB18960CF20C9__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=499, Duration=2.440542, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6A5E4C32412EAD3E0FDC76A3128EE8BB__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=409, Duration=2.072271, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D26B6CE94207573D516ACA835B714E21__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=16.632210, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2B516E2B41C0D74B90287A9DF43D5768__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=411, Duration=14.766410, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_65393AC247507B7DFF83D5B4BFDB2434__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=14.440701, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01F26C5341DE01E4C13D06A3EA3BB286__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.020050, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2BEEEF0E4294EA57732F55AB4811ED20__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.190903, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E6DF7634AD0718B70BDB4BF4B68DB45__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=447, Duration=2.287198, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C8983EBB4BA1B79DEE8E579A9E28BFC6__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.470728, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_729A827944F1D28F1B073A9F3855CE71__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.808748, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A82E375B43504754B9A02B8E594D991E__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=473, Duration=2.541665, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
