CookerStat, GenerateAssetRegistry=0.035014, Initialize=0.183836, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId7F3968B241AF48A59EF274A26DAA2747_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C59DB1984B6F1A8E0AAC579DC691C177__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=385, Duration=2.125401, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId761F3E9F40499298EDA2CFB071299AFA_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_572B648D4346CEE63BA521AE01B1CBB1__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=435, Duration=2.746325, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId3E6FD78C45F2AB6CBEDED693930C8123_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D550B2E04755EA92165DD08834632273__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=397, Duration=2.151661, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId7F3968B241AF48A59EF274A26DAA2747_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B433BEA4BE0063DF2A0AA8F64B0B712__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=397, Duration=1.956958, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId3E6FD78C45F2AB6CBEDED693930C8123_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BED8623F4F32B580321986B6F0B01F92__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=663, Duration=2.802774, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId761F3E9F40499298EDA2CFB071299AFA_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BC5F34204B2CB5279C9704A4AA8C82CD__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=525, Duration=2.287500, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId7F3968B241AF48A59EF274A26DAA2747_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1EC8940745D849B411171098FAE8C60B__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=347, Duration=2.608981, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
DDCTransactionId761F3E9F40499298EDA2CFB071299AFA_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B8918FDF471A1FAD171243872B5C6F8F__1_0_13123_0, StartTime=2016.05.09-00.54.12, HierarchicalDDC=, DataSize=347, Duration=1.851309, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_0, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_Sparks_blue.uasset, AutoPackageBackupDelegate=0.127085, FlushAsyncLoading=0.004828, FlushStreamingFunc=0.030790, BlockTillAllRequestsFinished=0.003926, ResetLoadersForSaveUnMarkAllObjects=0.258997, TagPackageExports=0.144891, BeginCacheForCookedPlatformData=0.001810, SerializeImports=0.952974, GatherLocalizableTextData=0.591949, MarkNames=0.018112, SerializeSummary=0.016298, SerializeNames=0.121653, SerializeGatherableTextData=0.001509, BuildExportMap=0.065502, SortExportsNonSeekfree=0.103842, SortExportsSeekfreeConstructor=0.061277, SortExportsSeekfreeInner=1.005195, SortExportsSeekfree=0.003319, BuildDependencyMap=0.021432, SerializeImportMap=0.015091, SerializeExportMap=0.013586, SerializeDependencyMap=0.002716, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.940187, SerializeExports=1.816895, SerializeBulkData=3.369670, MoveFile=1.598954, UnaccountedTime=1.160350, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_1, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_spark_burst_blue.uasset, AutoPackageBackupDelegate=0.110179, FlushAsyncLoading=0.003926, FlushStreamingFunc=0.025354, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.256579, TagPackageExports=0.156362, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.965655, GatherLocalizableTextData=0.640847, MarkNames=0.019018, SerializeSummary=0.012379, SerializeNames=0.104140, SerializeGatherableTextData=0.001207, BuildExportMap=0.063993, SortExportsNonSeekfree=0.138253, SortExportsSeekfreeConstructor=0.056449, SortExportsSeekfreeInner=1.147974, SortExportsSeekfree=0.003319, BuildDependencyMap=0.019923, SerializeImportMap=0.011776, SerializeExportMap=0.013884, SerializeDependencyMap=0.003625, SerializeStringAssetReferenceMap=0.002716, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.427625, SerializeExports=1.865499, SerializeBulkData=1.411799, MoveFile=1.578126, UnaccountedTime=1.219820, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_2, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_spark_burst_blue.uasset, AutoPackageBackupDelegate=9.102602, FlushAsyncLoading=0.008754, FlushStreamingFunc=0.032298, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.152137, TagPackageExports=0.147913, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.929426, GatherLocalizableTextData=0.660472, MarkNames=0.022337, SerializeSummary=0.012681, SerializeNames=0.100214, SerializeGatherableTextData=0.001211, BuildExportMap=0.063691, SortExportsNonSeekfree=0.148818, SortExportsSeekfreeConstructor=0.057656, SortExportsSeekfreeInner=1.402140, SortExportsSeekfree=0.005435, BuildDependencyMap=0.032600, SerializeImportMap=0.011776, SerializeExportMap=0.013884, SerializeDependencyMap=0.006039, SerializeStringAssetReferenceMap=0.003017, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.708959, SerializeExports=1.921948, SerializeBulkData=1.495414, MoveFile=1.658421, UnaccountedTime=1.146466, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_3, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_spark_burst_blue.uasset, AutoPackageBackupDelegate=4.232686, FlushAsyncLoading=0.003926, FlushStreamingFunc=0.040449, BlockTillAllRequestsFinished=0.004224, ResetLoadersForSaveUnMarkAllObjects=0.141270, TagPackageExports=0.147607, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.947844, GatherLocalizableTextData=0.642058, MarkNames=0.018716, SerializeSummary=0.011772, SerializeNames=0.101727, SerializeGatherableTextData=0.001207, BuildExportMap=0.062786, SortExportsNonSeekfree=0.137951, SortExportsSeekfreeConstructor=0.056148, SortExportsSeekfreeInner=1.137711, SortExportsSeekfree=0.002414, BuildDependencyMap=0.020225, SerializeImportMap=0.010867, SerializeExportMap=0.013884, SerializeDependencyMap=0.003923, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.378726, SerializeExports=1.947001, SerializeBulkData=1.387350, MoveFile=1.607407, UnaccountedTime=1.137108, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_4, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/FirstPersonBP/Blueprints/FirstPersonProjectile.uasset, AutoPackageBackupDelegate=7.979382, FlushAsyncLoading=0.007242, FlushStreamingFunc=0.038337, BlockTillAllRequestsFinished=0.005737, ResetLoadersForSaveUnMarkAllObjects=0.154551, TagPackageExports=4.020177, BeginCacheForCookedPlatformData=0.005133, SerializeImports=5.207393, GatherLocalizableTextData=15.613429, MarkNames=0.054941, SerializeSummary=0.015996, SerializeNames=0.271976, SerializeGatherableTextData=0.052527, BuildExportMap=0.121951, SortExportsNonSeekfree=0.558440, SortExportsSeekfreeConstructor=0.062488, SortExportsSeekfreeInner=8.378439, SortExportsSeekfree=0.006337, BuildDependencyMap=0.050712, SerializeImportMap=0.014789, SerializeExportMap=0.029884, SerializeDependencyMap=0.006642, SerializeStringAssetReferenceMap=0.002414, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.009870, SerializeExports=6.847098, SerializeBulkData=0.005737, MoveFile=2.020050, UnaccountedTime=1.209255, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_5, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_Sparks_blue.uasset, AutoPackageBackupDelegate=5.467899, FlushAsyncLoading=0.006944, FlushStreamingFunc=0.031393, BlockTillAllRequestsFinished=0.003621, ResetLoadersForSaveUnMarkAllObjects=0.143688, TagPackageExports=0.134628, BeginCacheForCookedPlatformData=0.001814, SerializeImports=0.835247, GatherLocalizableTextData=0.589229, MarkNames=0.016000, SerializeSummary=0.010867, SerializeNames=0.117727, SerializeGatherableTextData=0.001207, BuildExportMap=0.062484, SortExportsNonSeekfree=0.104144, SortExportsSeekfreeConstructor=0.007544, SortExportsSeekfreeInner=1.001574, SortExportsSeekfree=0.003017, BuildDependencyMap=0.019018, SerializeImportMap=0.013284, SerializeExportMap=0.013281, SerializeDependencyMap=0.002112, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.894907, SerializeExports=1.820520, SerializeBulkData=3.345217, MoveFile=2.057180, UnaccountedTime=1.250606, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_6, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/Blueprints/GravityWell.uasset, AutoPackageBackupDelegate=6.918643, FlushAsyncLoading=0.004832, FlushStreamingFunc=0.047088, BlockTillAllRequestsFinished=0.005737, ResetLoadersForSaveUnMarkAllObjects=0.146702, TagPackageExports=6.750807, BeginCacheForCookedPlatformData=0.002414, SerializeImports=9.068493, GatherLocalizableTextData=5.382474, MarkNames=0.051618, SerializeSummary=0.015393, SerializeNames=0.297032, SerializeGatherableTextData=0.054032, BuildExportMap=0.175685, SortExportsNonSeekfree=0.811398, SortExportsSeekfreeConstructor=0.053130, SortExportsSeekfreeInner=11.006433, SortExportsSeekfree=0.004228, BuildDependencyMap=0.068825, SerializeImportMap=0.019018, SerializeExportMap=0.044677, SerializeDependencyMap=0.008453, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.911318, SerializeExports=10.320004, SerializeBulkData=0.011168, MoveFile=1.829274, UnaccountedTime=1.227666, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_7, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_GPU_particles_attraction.uasset, AutoPackageBackupDelegate=11.461039, FlushAsyncLoading=0.009961, FlushStreamingFunc=0.032298, BlockTillAllRequestsFinished=0.004228, ResetLoadersForSaveUnMarkAllObjects=0.653528, TagPackageExports=0.214927, BeginCacheForCookedPlatformData=0.001810, SerializeImports=1.131676, GatherLocalizableTextData=1.031756, MarkNames=0.021130, SerializeSummary=0.014190, SerializeNames=0.204660, SerializeGatherableTextData=0.002716, BuildExportMap=0.090256, SortExportsNonSeekfree=0.240583, SortExportsSeekfreeConstructor=0.008453, SortExportsSeekfreeInner=1.351431, SortExportsSeekfree=0.003621, BuildDependencyMap=0.028074, SerializeImportMap=0.013884, SerializeExportMap=0.020828, SerializeDependencyMap=0.003926, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.006179, SerializeExports=2.886091, SerializeBulkData=4.269514, MoveFile=2.107590, UnaccountedTime=1.290150, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_8, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_GPU_particles_attraction.uasset, AutoPackageBackupDelegate=4.549943, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.030186, BlockTillAllRequestsFinished=0.003625, ResetLoadersForSaveUnMarkAllObjects=0.134025, TagPackageExports=0.211000, BeginCacheForCookedPlatformData=0.001509, SerializeImports=1.075529, GatherLocalizableTextData=1.023609, MarkNames=0.020225, SerializeSummary=0.010565, SerializeNames=0.200436, SerializeGatherableTextData=0.002414, BuildExportMap=0.090256, SortExportsNonSeekfree=0.243302, SortExportsSeekfreeConstructor=0.056144, SortExportsSeekfreeInner=1.328487, SortExportsSeekfree=0.002418, BuildDependencyMap=0.028979, SerializeImportMap=0.012979, SerializeExportMap=0.020526, SerializeDependencyMap=0.004224, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.981127, SerializeExports=2.882466, SerializeBulkData=4.202806, MoveFile=1.856744, UnaccountedTime=1.329090, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_9, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_GPU_particles_attraction.uasset, AutoPackageBackupDelegate=4.474174, FlushAsyncLoading=0.003021, FlushStreamingFunc=0.028979, BlockTillAllRequestsFinished=0.003923, ResetLoadersForSaveUnMarkAllObjects=0.133723, TagPackageExports=0.211302, BeginCacheForCookedPlatformData=0.001810, SerializeImports=1.128659, GatherLocalizableTextData=1.031756, MarkNames=0.021134, SerializeSummary=0.012979, SerializeNames=0.222772, SerializeGatherableTextData=0.002716, BuildExportMap=0.092674, SortExportsNonSeekfree=0.241183, SortExportsSeekfreeConstructor=0.011172, SortExportsSeekfreeInner=1.353539, SortExportsSeekfree=0.003021, BuildDependencyMap=0.026561, SerializeImportMap=0.014190, SerializeExportMap=0.021432, SerializeDependencyMap=0.004526, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.769890, SerializeExports=2.960041, SerializeBulkData=4.258044, MoveFile=1.965411, UnaccountedTime=1.269024, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
SavePackageTransactionIdF8D1F3F844C7138FE0FAF49F627689A9_10, Filename=../../../../../../Users/k0ola/Documents/GitHub/RiggingShooter/GameJamRigging/Content/ExampleContent/Effects/ParticleSystems/P_GPU_particles_attraction.uasset, AutoPackageBackupDelegate=5.630903, FlushAsyncLoading=0.003625, FlushStreamingFunc=0.031695, BlockTillAllRequestsFinished=0.003923, ResetLoadersForSaveUnMarkAllObjects=0.139158, TagPackageExports=0.225190, BeginCacheForCookedPlatformData=0.001810, SerializeImports=1.051981, GatherLocalizableTextData=1.044739, MarkNames=0.020225, SerializeSummary=0.012379, SerializeNames=0.197716, SerializeGatherableTextData=0.002719, BuildExportMap=0.094481, SortExportsNonSeekfree=0.240281, SortExportsSeekfreeConstructor=0.057958, SortExportsSeekfreeInner=1.347203, SortExportsSeekfree=0.002716, BuildDependencyMap=0.031091, SerializeImportMap=0.022337, SerializeExportMap=0.023242, SerializeDependencyMap=0.004224, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.029425, SerializeExports=2.912652, SerializeBulkData=4.348602, MoveFile=2.391942, UnaccountedTime=1.306150, RunGuid=RunID7A3FE9C94F834D2BAF2140844359811A
