CookerStat, GenerateAssetRegistry=0.550423, Initialize=1.003489, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
SavePackageTransactionId2B2B4D074DEED0F56D302A9CFDE9D29F_0, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=74.540504, FlushAsyncLoading=0.014104, FlushStreamingFunc=0.090446, BlockTillAllRequestsFinished=0.007469, ResetLoadersForSaveUnMarkAllObjects=626.726868, TagPackageExports=2.730273, BeginCacheForCookedPlatformData=0.003871, SerializeImports=3.643036, GatherLocalizableTextData=13.488725, MarkNames=0.076342, SerializeSummary=0.255574, SerializeNames=0.492617, SerializeGatherableTextData=0.031807, BuildExportMap=0.534382, SortExportsNonSeekfree=1.090892, SortExportsSeekfreeConstructor=0.585832, SortExportsSeekfreeInner=25.497940, SortExportsSeekfree=0.007190, BuildDependencyMap=0.404660, SerializeImportMap=0.057254, SerializeExportMap=0.053383, SerializeDependencyMap=0.010233, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.325168, SerializeExports=8.681223, SerializeBulkData=1127.260986, MoveFile=6.181352, UnaccountedTime=2.467230, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
SavePackageTransactionId2B2B4D074DEED0F56D302A9CFDE9D29F_1, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Maps/Level1.umap, AutoPackageBackupDelegate=0.165679, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.081044, BlockTillAllRequestsFinished=0.003595, ResetLoadersForSaveUnMarkAllObjects=0.189193, TagPackageExports=0.072744, BeginCacheForCookedPlatformData=0.001661, SerializeImports=0.345189, GatherLocalizableTextData=0.496488, MarkNames=0.007745, SerializeSummary=0.009406, SerializeNames=0.047572, SerializeGatherableTextData=0.001106, BuildExportMap=0.021853, SortExportsNonSeekfree=0.014383, SortExportsSeekfreeConstructor=0.047851, SortExportsSeekfreeInner=3.534056, SortExportsSeekfree=0.004426, BuildDependencyMap=0.011344, SerializeImportMap=0.007190, SerializeExportMap=0.006083, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.289872, SerializeExports=0.453062, SerializeBulkData=0.004981, MoveFile=0.446152, UnaccountedTime=0.514742, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionIdA93EC95C4EA223E9709959AB87E605AD_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_60F590414AC36ED729A526A0991DB296__1_0_13123_0, StartTime=2016.05.19-14.06.55, HierarchicalDDC=, DataSize=465, Duration=1.716550, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionId5A0810A24B1FEE874BB22B899F67474B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA160B6C4E221D6A6EAD0EBBCCBE3CFB__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=347, Duration=1.843229, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionIdA93EC95C4EA223E9709959AB87E605AD_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C822484D4CFBED70CDD45CAD2C106C03__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=451, Duration=1.716550, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionIdA93EC95C4EA223E9709959AB87E605AD_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0F76954042F0080E2E3E1E87A7EB0AB8__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=347, Duration=1.808379, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionId63B2903749E06D0D4A2ED7A513F057B1_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A21FBD04FCAD5B5AEC60CA0A76C9703__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=437, Duration=2.069764, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionId5A0810A24B1FEE874BB22B899F67474B_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1E2E3FC949AB35CB7F3EA4BD8B105876__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=347, Duration=1.688063, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionId63B2903749E06D0D4A2ED7A513F057B1_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47AB8CE04FFB57C6AED0599E9776AF5C__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=347, Duration=1.803953, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionIdA93EC95C4EA223E9709959AB87E605AD_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_84A6715B4563F2570E9405A1001CB646__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=411, Duration=1.958296, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionId5A0810A24B1FEE874BB22B899F67474B_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D41241C4AF038DB845CBCA5F4FFC08B__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=347, Duration=2.138633, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionId63B2903749E06D0D4A2ED7A513F057B1_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E770F2D94EE4A3D98FF5BFBC7E2EB7B5__1_0_13123_0, StartTime=2016.05.19-14.06.58, HierarchicalDDC=, DataSize=347, Duration=1.877252, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
DDCTransactionIdA93EC95C4EA223E9709959AB87E605AD_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CDBCE4224474A9E3E447B595EE13A34E__1_0_13123_0, StartTime=2016.05.19-14.07.08, HierarchicalDDC=, DataSize=347, Duration=1.521550, RunGuid=RunID051D378342552D72DE6202A9BA2CABF3
