CookerStat, GenerateAssetRegistry=0.039000, Initialize=0.177577, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_64E99A0A45AF58B8ADF482B6AAE396A2__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=458, Duration=1.514636, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_082C51F74AC5A4EC12A5F8BAD86A5D49__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=458, Duration=2.064787, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4336265442FCDE649BE6EBBA3E2183D5__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=458, Duration=1.419764, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F39593384F7979E0ED66DEB5C772FE78__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=458, Duration=1.254357, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B863C78C4F12B6BABBB7B49F2BDEA2F0__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=1367, Duration=1.310788, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_070F334F45E0E81A74FB02B30AB0485E__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=2449, Duration=1.576591, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CB6A1DC64452DC726542958FE331BA80__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=385, Duration=1.564425, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9EC6D7D648851EA9136326B7D7F658BC__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=4549, Duration=1.672849, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_521CE7F048A49C7F7237A4877CDF0AC6__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=1945, Duration=1.776297, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_537F5717425E3E5FF7DA0D90F00445A7__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=461, Duration=1.489189, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3D91DA949D82D61C5D86482B581F798__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=499, Duration=1.512423, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_98EB6A6F417AE5565610AF9D5F65AFF1__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=347, Duration=1.545336, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BD3D601B4D1E641345F442B46FBE1BB8__1_0_13123_0, StartTime=2016.05.19-17.31.47, HierarchicalDDC=, DataSize=347, Duration=1.954973, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1A4F3B6244BE5072935BEFA0D1A3919A__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=458, Duration=1.683913, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F0EB812042B9E15B41D013AF776732DF__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=458, Duration=1.394592, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3F7B654545D8675ADCD13FA34D45C9A2__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=458, Duration=1.482274, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3F20139142D680DF70CE6A9F008409D9__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=458, Duration=1.669530, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D04C8AD94EDF5BF9DB6A6EBA3D9F9522__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=1367, Duration=1.329869, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
