CookerStat, GenerateAssetRegistry=0.029597, Initialize=0.131104, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_95FAE18E4C834387EE4DEF9C9235B252__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=458, Duration=1.612823, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6DBF8BE64C11A2ABC966B2BDB931AD26__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=409, Duration=1.682248, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D6F73364640D1602D8302BFA3F14A5C__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=499, Duration=1.553632, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_06773E9E4AD149D004D018949414B839__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=613, Duration=1.542293, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_11AA1B384988018A1BEBAEAFC239666D__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=829, Duration=1.647953, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5CBF7144FF580419F7FF796AFB364ED__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=753, Duration=1.516014, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DC2B24204BCADA1AB16F90840CD32B1D__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=499, Duration=1.360573, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_333A56A44D12B29431D3D4A7FFBDC9E3__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=499, Duration=1.712121, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7A7A3C5A4BCA45F1F307DA878DE61ECE__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=461, Duration=1.607016, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_32A4916943D1ADF8FFE2A9AD979762CC__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=603, Duration=1.394588, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AFF2A6B645F4D707E695BB8DE4C2957C__1_0_13123_0, StartTime=2016.05.20-23.03.43, HierarchicalDDC=, DataSize=603, Duration=1.573548, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
SavePackageTransactionIdB80D81FE46CD99CBEC6264ADC0AFBFEF_0, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Maps/ChrisTest.umap, AutoPackageBackupDelegate=14.580138, FlushAsyncLoading=0.008851, FlushStreamingFunc=0.050340, BlockTillAllRequestsFinished=0.005532, ResetLoadersForSaveUnMarkAllObjects=66.341522, TagPackageExports=4.192348, BeginCacheForCookedPlatformData=0.002488, SerializeImports=4.887428, GatherLocalizableTextData=18.097040, MarkNames=0.117000, SerializeSummary=0.026554, SerializeNames=0.399955, SerializeGatherableTextData=0.080489, BuildExportMap=0.323065, SortExportsNonSeekfree=1.105547, SortExportsSeekfreeConstructor=0.091277, SortExportsSeekfreeInner=25.134441, SortExportsSeekfree=0.006914, BuildDependencyMap=0.957292, SerializeImportMap=0.027936, SerializeExportMap=0.049513, SerializeDependencyMap=0.015765, SerializeStringAssetReferenceMap=0.002768, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.368865, SerializeExports=8.891690, SerializeBulkData=0.032086, MoveFile=0.725783, UnaccountedTime=0.602700, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
SavePackageTransactionIdB80D81FE46CD99CBEC6264ADC0AFBFEF_1, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Enemies/BasicEnemy/BasicBehaviorTree.uasset, AutoPackageBackupDelegate=16.760807, FlushAsyncLoading=0.008300, FlushStreamingFunc=0.061128, BlockTillAllRequestsFinished=0.005808, ResetLoadersForSaveUnMarkAllObjects=0.207998, TagPackageExports=0.190850, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.625383, GatherLocalizableTextData=1.347568, MarkNames=0.018809, SerializeSummary=0.012446, SerializeNames=0.084639, SerializeGatherableTextData=0.001382, BuildExportMap=0.071637, SortExportsNonSeekfree=0.133596, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=1.521546, SortExportsSeekfree=0.003319, BuildDependencyMap=0.022959, SerializeImportMap=0.008851, SerializeExportMap=0.012171, SerializeDependencyMap=0.004426, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.225704, SerializeExports=1.503844, SerializeBulkData=0.004701, MoveFile=0.615701, UnaccountedTime=0.510041, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
SavePackageTransactionIdB80D81FE46CD99CBEC6264ADC0AFBFEF_2, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Enemies/BasicEnemy/BasicBehaviorTree.uasset, AutoPackageBackupDelegate=13.640821, FlushAsyncLoading=0.006083, FlushStreamingFunc=0.074130, BlockTillAllRequestsFinished=0.008021, ResetLoadersForSaveUnMarkAllObjects=0.181444, TagPackageExports=0.195000, BeginCacheForCookedPlatformData=0.001661, SerializeImports=0.609338, GatherLocalizableTextData=1.316868, MarkNames=0.018254, SerializeSummary=0.009958, SerializeNames=0.083532, SerializeGatherableTextData=0.001106, BuildExportMap=0.070255, SortExportsNonSeekfree=0.133872, SortExportsSeekfreeConstructor=0.052553, SortExportsSeekfreeInner=1.355868, SortExportsSeekfree=0.003040, BuildDependencyMap=0.022404, SerializeImportMap=0.008572, SerializeExportMap=0.012171, SerializeDependencyMap=0.004426, SerializeStringAssetReferenceMap=0.001933, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.210214, SerializeExports=1.448248, SerializeBulkData=0.004705, MoveFile=0.570063, UnaccountedTime=0.524424, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1DBADC9D4BDF8DF4EBB9338FFA9D9BB9__1_0_13123_0, StartTime=2016.05.20-23.06.16, HierarchicalDDC=, DataSize=458, Duration=1.650441, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4750C8924DE674FAC0A338A34BDF7668__1_0_13123_0, StartTime=2016.05.20-23.06.17, HierarchicalDDC=, DataSize=458, Duration=1.724843, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
SavePackageTransactionIdB80D81FE46CD99CBEC6264ADC0AFBFEF_3, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Maps/ChrisTest.umap, AutoPackageBackupDelegate=12.673847, FlushAsyncLoading=0.005256, FlushStreamingFunc=0.034574, BlockTillAllRequestsFinished=0.003871, ResetLoadersForSaveUnMarkAllObjects=68.713600, TagPackageExports=4.054327, BeginCacheForCookedPlatformData=0.002488, SerializeImports=4.981194, GatherLocalizableTextData=29.875551, MarkNames=0.216294, SerializeSummary=0.017151, SerializeNames=0.393040, SerializeGatherableTextData=0.067487, BuildExportMap=0.238426, SortExportsNonSeekfree=0.774741, SortExportsSeekfreeConstructor=0.063896, SortExportsSeekfreeInner=26.886112, SortExportsSeekfree=0.007190, BuildDependencyMap=0.127509, SerializeImportMap=0.020191, SerializeExportMap=0.047021, SerializeDependencyMap=0.014108, SerializeStringAssetReferenceMap=0.002213, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.304973, SerializeExports=9.144496, SerializeBulkData=0.004705, MoveFile=0.687059, UnaccountedTime=0.565913, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_780DAF0549436BEF452DC8B85EA19715__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=458, Duration=1.556676, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
