CookerStat, GenerateAssetRegistry=0.022683, Initialize=0.115339, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_0, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/Ailerons-Typeface.uasset, AutoPackageBackupDelegate=0.099298, FlushAsyncLoading=0.003874, FlushStreamingFunc=0.053383, BlockTillAllRequestsFinished=0.004426, ResetLoadersForSaveUnMarkAllObjects=0.255849, TagPackageExports=0.020467, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.209939, GatherLocalizableTextData=0.050891, MarkNames=0.005811, SerializeSummary=0.012998, SerializeNames=0.027105, SerializeGatherableTextData=0.001661, BuildExportMap=0.015490, SortExportsNonSeekfree=0.006363, SortExportsSeekfreeConstructor=0.060298, SortExportsSeekfreeInner=0.101510, SortExportsSeekfree=0.002488, BuildDependencyMap=0.008851, SerializeImportMap=0.011340, SerializeExportMap=0.005256, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.312336, SerializeExports=0.097640, SerializeBulkData=0.561487, MoveFile=0.526361, UnaccountedTime=0.583615, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_1, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=102.270515, FlushAsyncLoading=0.013001, FlushStreamingFunc=0.099022, BlockTillAllRequestsFinished=0.005808, ResetLoadersForSaveUnMarkAllObjects=629.625244, TagPackageExports=2.237655, BeginCacheForCookedPlatformData=0.002213, SerializeImports=3.106441, GatherLocalizableTextData=12.942441, MarkNames=0.100680, SerializeSummary=0.017151, SerializeNames=0.471871, SerializeGatherableTextData=0.033192, BuildExportMap=0.311997, SortExportsNonSeekfree=0.819828, SortExportsSeekfreeConstructor=0.064448, SortExportsSeekfreeInner=24.026718, SortExportsSeekfree=0.005532, BuildDependencyMap=0.113402, SerializeImportMap=0.053659, SerializeExportMap=0.065275, SerializeDependencyMap=0.009682, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.778781, SerializeExports=9.520132, SerializeBulkData=1116.725098, MoveFile=46.959225, UnaccountedTime=0.661891, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_2, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/Cornerstone.uasset, AutoPackageBackupDelegate=0.084363, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.055872, BlockTillAllRequestsFinished=0.005256, ResetLoadersForSaveUnMarkAllObjects=0.160147, TagPackageExports=0.017427, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.242021, GatherLocalizableTextData=0.045083, MarkNames=0.003874, SerializeSummary=0.009127, SerializeNames=0.021573, SerializeGatherableTextData=0.001382, BuildExportMap=0.010237, SortExportsNonSeekfree=0.004426, SortExportsSeekfreeConstructor=0.007745, SortExportsSeekfreeInner=0.107870, SortExportsSeekfree=0.002213, BuildDependencyMap=0.005532, SerializeImportMap=0.009682, SerializeExportMap=0.005253, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001386, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.158269, SerializeExports=0.121426, SerializeBulkData=0.701446, MoveFile=0.446979, UnaccountedTime=0.466339, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_3, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Ailerons-Typeface.uasset, AutoPackageBackupDelegate=0.088509, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.082426, BlockTillAllRequestsFinished=0.005532, ResetLoadersForSaveUnMarkAllObjects=0.165679, TagPackageExports=0.007745, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.214085, GatherLocalizableTextData=0.010785, MarkNames=0.003874, SerializeSummary=0.008851, SerializeNames=0.008851, SerializeGatherableTextData=0.001382, BuildExportMap=0.008851, SortExportsNonSeekfree=0.002488, SortExportsSeekfreeConstructor=0.008576, SortExportsSeekfreeInner=0.014935, SortExportsSeekfree=0.001661, BuildDependencyMap=0.004426, SerializeImportMap=0.045359, SerializeExportMap=0.024065, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.011340, SerializeExports=0.004701, SerializeBulkData=0.003044, MoveFile=0.363722, UnaccountedTime=0.472702, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_4, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/BEYNO.uasset, AutoPackageBackupDelegate=0.089891, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.058915, BlockTillAllRequestsFinished=0.003874, ResetLoadersForSaveUnMarkAllObjects=0.155445, TagPackageExports=0.017148, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.204403, GatherLocalizableTextData=0.043426, MarkNames=0.003874, SerializeSummary=0.009403, SerializeNames=0.021297, SerializeGatherableTextData=0.001386, BuildExportMap=0.009954, SortExportsNonSeekfree=0.004150, SortExportsSeekfreeConstructor=0.007194, SortExportsSeekfreeInner=0.110082, SortExportsSeekfree=0.002492, BuildDependencyMap=0.005532, SerializeImportMap=0.010233, SerializeExportMap=0.004426, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.092443, SerializeExports=0.091001, SerializeBulkData=0.293192, MoveFile=0.541851, UnaccountedTime=0.467446, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_5, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/Lombok.uasset, AutoPackageBackupDelegate=0.088234, FlushAsyncLoading=0.003874, FlushStreamingFunc=0.073850, BlockTillAllRequestsFinished=0.003595, ResetLoadersForSaveUnMarkAllObjects=0.147425, TagPackageExports=0.016872, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.222106, GatherLocalizableTextData=0.043701, MarkNames=0.003874, SerializeSummary=0.010509, SerializeNames=0.020191, SerializeGatherableTextData=0.001106, BuildExportMap=0.009958, SortExportsNonSeekfree=0.004150, SortExportsSeekfreeConstructor=0.007745, SortExportsSeekfreeInner=0.105105, SortExportsSeekfree=0.002213, BuildDependencyMap=0.005256, SerializeImportMap=0.010233, SerializeExportMap=0.004426, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.246782, SerializeExports=0.091553, SerializeBulkData=1.162253, MoveFile=0.406317, UnaccountedTime=0.482105, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_6, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/makhina.uasset, AutoPackageBackupDelegate=0.089064, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.024892, BlockTillAllRequestsFinished=0.003044, ResetLoadersForSaveUnMarkAllObjects=0.146318, TagPackageExports=0.028767, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.206891, GatherLocalizableTextData=0.043426, MarkNames=0.003874, SerializeSummary=0.008851, SerializeNames=0.020742, SerializeGatherableTextData=0.001106, BuildExportMap=0.010513, SortExportsNonSeekfree=0.003871, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.105381, SortExportsSeekfree=0.002213, BuildDependencyMap=0.005256, SerializeImportMap=0.007465, SerializeExportMap=0.004981, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.239868, SerializeExports=0.115614, SerializeBulkData=1.052447, MoveFile=0.368148, UnaccountedTime=0.495106, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_7, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/Metropolis_1920.uasset, AutoPackageBackupDelegate=0.088789, FlushAsyncLoading=0.003871, FlushStreamingFunc=0.055596, BlockTillAllRequestsFinished=0.004150, ResetLoadersForSaveUnMarkAllObjects=0.146318, TagPackageExports=0.017148, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.220999, GatherLocalizableTextData=0.045918, MarkNames=0.003871, SerializeSummary=0.009127, SerializeNames=0.020470, SerializeGatherableTextData=0.001106, BuildExportMap=0.009954, SortExportsNonSeekfree=0.004150, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.105105, SortExportsSeekfree=0.001937, BuildDependencyMap=0.005808, SerializeImportMap=0.007469, SerializeExportMap=0.004426, SerializeDependencyMap=0.000827, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.375674, SerializeExports=0.092659, SerializeBulkData=1.043595, MoveFile=0.390276, UnaccountedTime=0.469103, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_8, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/ostrich-regular.uasset, AutoPackageBackupDelegate=0.091273, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.025723, BlockTillAllRequestsFinished=0.003871, ResetLoadersForSaveUnMarkAllObjects=0.145212, TagPackageExports=0.017148, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.217129, GatherLocalizableTextData=0.044253, MarkNames=0.003595, SerializeSummary=0.009131, SerializeNames=0.021018, SerializeGatherableTextData=0.001106, BuildExportMap=0.009958, SortExportsNonSeekfree=0.004150, SortExportsSeekfreeConstructor=0.007194, SortExportsSeekfreeInner=0.106487, SortExportsSeekfree=0.002213, BuildDependencyMap=0.005256, SerializeImportMap=0.009406, SerializeExportMap=0.004701, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.261441, SerializeExports=0.127789, SerializeBulkData=0.445869, MoveFile=0.412680, UnaccountedTime=0.494000, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_9, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/RBNo2Light.uasset, AutoPackageBackupDelegate=0.086300, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.033192, BlockTillAllRequestsFinished=0.003871, ResetLoadersForSaveUnMarkAllObjects=0.146043, TagPackageExports=0.017151, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.202741, GatherLocalizableTextData=0.044532, MarkNames=0.003599, SerializeSummary=0.008848, SerializeNames=0.020746, SerializeGatherableTextData=0.001382, BuildExportMap=0.009958, SortExportsNonSeekfree=0.004426, SortExportsSeekfreeConstructor=0.007194, SortExportsSeekfreeInner=0.104550, SortExportsSeekfree=0.002213, BuildDependencyMap=0.004981, SerializeImportMap=0.007465, SerializeExportMap=0.004981, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.143335, SerializeExports=0.117276, SerializeBulkData=0.590533, MoveFile=0.380594, UnaccountedTime=0.471320, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_10, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/RBNo2Light_a.uasset, AutoPackageBackupDelegate=0.089891, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.025723, BlockTillAllRequestsFinished=0.003044, ResetLoadersForSaveUnMarkAllObjects=0.147704, TagPackageExports=0.017148, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.203297, GatherLocalizableTextData=0.044532, MarkNames=0.003599, SerializeSummary=0.010509, SerializeNames=0.020746, SerializeGatherableTextData=0.001106, BuildExportMap=0.010509, SortExportsNonSeekfree=0.003871, SortExportsSeekfreeConstructor=0.007745, SortExportsSeekfreeInner=0.106491, SortExportsSeekfree=0.002213, BuildDependencyMap=0.004977, SerializeImportMap=0.009678, SerializeExportMap=0.004705, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001658, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.222721, SerializeExports=0.090722, SerializeBulkData=0.569511, MoveFile=0.423741, UnaccountedTime=0.489853, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_11, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/Reckoner_Bold.uasset, AutoPackageBackupDelegate=0.086021, FlushAsyncLoading=0.003874, FlushStreamingFunc=0.032913, BlockTillAllRequestsFinished=0.003599, ResetLoadersForSaveUnMarkAllObjects=0.144657, TagPackageExports=0.017423, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.202194, GatherLocalizableTextData=0.043701, MarkNames=0.003871, SerializeSummary=0.009127, SerializeNames=0.020746, SerializeGatherableTextData=0.001106, BuildExportMap=0.010233, SortExportsNonSeekfree=0.004150, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=0.105936, SortExportsSeekfree=0.003044, BuildDependencyMap=0.005532, SerializeImportMap=0.009682, SerializeExportMap=0.004701, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.226036, SerializeExports=0.091556, SerializeBulkData=1.277868, MoveFile=0.424575, UnaccountedTime=0.483487, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_12, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/Reckoner.uasset, AutoPackageBackupDelegate=0.091277, FlushAsyncLoading=0.003871, FlushStreamingFunc=0.026830, BlockTillAllRequestsFinished=0.003595, ResetLoadersForSaveUnMarkAllObjects=0.151023, TagPackageExports=0.017148, BeginCacheForCookedPlatformData=0.000831, SerializeImports=0.204682, GatherLocalizableTextData=0.044532, MarkNames=0.003871, SerializeSummary=0.009682, SerializeNames=0.021297, SerializeGatherableTextData=0.001106, BuildExportMap=0.010509, SortExportsNonSeekfree=0.004426, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.107318, SortExportsSeekfree=0.002213, BuildDependencyMap=0.005256, SerializeImportMap=0.007190, SerializeExportMap=0.004981, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.192568, SerializeExports=0.115618, SerializeBulkData=0.974722, MoveFile=0.386678, UnaccountedTime=0.469383, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
SavePackageTransactionId788150DD48EFBA6965246AB5984AE5B6_13, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Font/Timber.uasset, AutoPackageBackupDelegate=0.084363, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.032637, BlockTillAllRequestsFinished=0.004150, ResetLoadersForSaveUnMarkAllObjects=0.144105, TagPackageExports=0.017427, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.210486, GatherLocalizableTextData=0.045918, MarkNames=0.003871, SerializeSummary=0.009127, SerializeNames=0.021022, SerializeGatherableTextData=0.001382, BuildExportMap=0.010513, SortExportsNonSeekfree=0.004426, SortExportsSeekfreeConstructor=0.008296, SortExportsSeekfreeInner=0.113130, SortExportsSeekfree=0.003316, BuildDependencyMap=0.007194, SerializeImportMap=0.009958, SerializeExportMap=0.005808, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.117611, SerializeExports=0.117000, SerializeBulkData=0.483487, MoveFile=0.458874, UnaccountedTime=0.480443, RunGuid=RunID2DC29A8D46FC6CAC3CF9859936100996
