CookerStat, GenerateAssetRegistry=0.022680, Initialize=0.116445, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId11650A724E7B727D34954D8D581C317E_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C739825549FDC2AB2__A14EDDBCD03AFB13565DF4C0FF8658AEEC816E66, StartTime=2016.05.23-23.58.47, HierarchicalDDC=, DataSize=2277, Duration=1.866452, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId10D590A8464203452F1F45A08B99D53F_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_0D__B6D3A36428037D4816C975C0002BEAD875A7F170, StartTime=2016.05.23-23.59.15, HierarchicalDDC=, DataSize=178025, Duration=1.667306, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId558F4D534E0EE986A99EB998662E9EC0_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_259C1CF8422869A57323D9863AA6504__EABFAA935A7E8EDF264BB59E6C9E9C79F54764A2, StartTime=2016.05.23-23.59.15, HierarchicalDDC=, DataSize=39914, Duration=1.241907, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId11650A724E7B727D34954D8D581C317E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14094A8E4A99CD457882D9BF65DCFFB__4F7414D43AD76BB8FFECDA6B0E0E8F7D12C35525, StartTime=2016.05.23-23.59.15, HierarchicalDDC=, DataSize=42292, Duration=2.037112, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId11650A724E7B727D34954D8D581C317E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7C2FE5A640A7C68588DFB29AD4AFEDBA__1_0_13123_0, StartTime=2016.05.24-00.00.47, HierarchicalDDC=, DataSize=458, Duration=1.832154, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId10D590A8464203452F1F45A08B99D53F_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B90EDFBB46C0D2CC76E3119AD73E7226__1_0_13123_0, StartTime=2016.05.24-00.00.47, HierarchicalDDC=, DataSize=458, Duration=1.626648, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId558F4D534E0EE986A99EB998662E9EC0_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_440DD8C6424F306E71878AAE3FD97905__1_0_13123_0, StartTime=2016.05.24-00.00.47, HierarchicalDDC=, DataSize=409, Duration=1.669519, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId11650A724E7B727D34954D8D581C317E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_18440AF2477A0DA7AE167AB79B64F980__1_0_13123_0, StartTime=2016.05.24-00.00.47, HierarchicalDDC=, DataSize=499, Duration=1.323774, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId10D590A8464203452F1F45A08B99D53F_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F5A7E424DC0CB9B957CD6A37FA34BA8__1_0_13123_0, StartTime=2016.05.24-00.00.47, HierarchicalDDC=, DataSize=613, Duration=1.909047, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId11650A724E7B727D34954D8D581C317E_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_00BE61954E15E1AE64ECEE88EFC94E65__1_0_13123_0, StartTime=2016.05.24-00.00.47, HierarchicalDDC=, DataSize=807, Duration=1.518223, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
DDCTransactionId558F4D534E0EE986A99EB998662E9EC0_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6FA61925438EA8978FA6A5BEEBB3E9BD__1_0_13123_0, StartTime=2016.05.24-00.00.47, HierarchicalDDC=, DataSize=691, Duration=1.460966, RunGuid=RunID4CC8C9694DC3758ACFF01784B41B876C
