CookerStat, GenerateAssetRegistry=0.023235, Initialize=0.118937, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_0, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_Idle.uasset, AutoPackageBackupDelegate=14.691055, FlushAsyncLoading=0.009682, FlushStreamingFunc=0.045639, BlockTillAllRequestsFinished=0.005528, ResetLoadersForSaveUnMarkAllObjects=0.371467, TagPackageExports=0.043701, BeginCacheForCookedPlatformData=0.001661, SerializeImports=0.268571, GatherLocalizableTextData=0.319194, MarkNames=0.006914, SerializeSummary=0.013277, SerializeNames=0.064444, SerializeGatherableTextData=0.001661, BuildExportMap=0.018530, SortExportsNonSeekfree=0.009406, SortExportsSeekfreeConstructor=0.063341, SortExportsSeekfreeInner=0.333294, SortExportsSeekfree=0.002768, BuildDependencyMap=0.010785, SerializeImportMap=0.008851, SerializeExportMap=0.005808, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.325061, SerializeExports=0.351276, SerializeBulkData=0.013001, MoveFile=0.658017, UnaccountedTime=0.516403, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_1, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_Walk.uasset, AutoPackageBackupDelegate=13.181679, FlushAsyncLoading=0.007190, FlushStreamingFunc=0.081871, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.253912, TagPackageExports=0.086021, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.289597, GatherLocalizableTextData=0.328593, MarkNames=0.005532, SerializeSummary=0.009403, SerializeNames=0.047300, SerializeGatherableTextData=0.001106, BuildExportMap=0.015490, SortExportsNonSeekfree=0.008572, SortExportsSeekfreeConstructor=0.006918, SortExportsSeekfreeInner=0.389721, SortExportsSeekfree=0.002488, BuildDependencyMap=0.006914, SerializeImportMap=0.006363, SerializeExportMap=0.005808, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.328656, SerializeExports=0.462741, SerializeBulkData=0.005532, MoveFile=0.702828, UnaccountedTime=0.503957, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_2, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3.uasset, AutoPackageBackupDelegate=31.449936, FlushAsyncLoading=0.009958, FlushStreamingFunc=0.042040, BlockTillAllRequestsFinished=0.004705, ResetLoadersForSaveUnMarkAllObjects=0.266634, TagPackageExports=0.490125, BeginCacheForCookedPlatformData=0.001386, SerializeImports=0.723019, GatherLocalizableTextData=0.278529, MarkNames=0.007194, SerializeSummary=0.010785, SerializeNames=0.068322, SerializeGatherableTextData=0.001106, BuildExportMap=0.021297, SortExportsNonSeekfree=0.006083, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=1.037229, SortExportsSeekfree=0.002768, BuildDependencyMap=0.007465, SerializeImportMap=0.009127, SerializeExportMap=0.005532, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.393103, SerializeExports=2.898160, SerializeBulkData=0.061128, MoveFile=0.703931, UnaccountedTime=0.479065, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_3, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_InAir.uasset, AutoPackageBackupDelegate=13.090953, FlushAsyncLoading=0.006918, FlushStreamingFunc=0.029318, BlockTillAllRequestsFinished=0.003595, ResetLoadersForSaveUnMarkAllObjects=0.251979, TagPackageExports=0.043150, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.297338, GatherLocalizableTextData=0.327766, MarkNames=0.005532, SerializeSummary=0.009682, SerializeNames=0.047296, SerializeGatherableTextData=0.001106, BuildExportMap=0.016045, SortExportsNonSeekfree=0.008021, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=0.331637, SortExportsSeekfree=0.002492, BuildDependencyMap=0.006914, SerializeImportMap=0.006635, SerializeExportMap=0.005532, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.183720, SerializeExports=0.364829, SerializeBulkData=0.004981, MoveFile=0.675168, UnaccountedTime=0.480171, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_4, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_JumpStart.uasset, AutoPackageBackupDelegate=13.368935, FlushAsyncLoading=0.007469, FlushStreamingFunc=0.058912, BlockTillAllRequestsFinished=0.005256, ResetLoadersForSaveUnMarkAllObjects=0.249211, TagPackageExports=0.046469, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.287659, GatherLocalizableTextData=0.298444, MarkNames=0.004981, SerializeSummary=0.010509, SerializeNames=0.047021, SerializeGatherableTextData=0.001106, BuildExportMap=0.016045, SortExportsNonSeekfree=0.008576, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=0.351552, SortExportsSeekfree=0.002764, BuildDependencyMap=0.007194, SerializeImportMap=0.005808, SerializeExportMap=0.005256, SerializeDependencyMap=0.000831, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.290486, SerializeExports=0.354320, SerializeBulkData=0.004426, MoveFile=0.618741, UnaccountedTime=0.472423, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_5, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Cylinder_Idle.uasset, AutoPackageBackupDelegate=0.094872, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.023510, BlockTillAllRequestsFinished=0.003040, ResetLoadersForSaveUnMarkAllObjects=0.114236, TagPackageExports=0.042599, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.256125, GatherLocalizableTextData=0.326935, MarkNames=0.005532, SerializeSummary=0.009682, SerializeNames=0.048403, SerializeGatherableTextData=0.001382, BuildExportMap=0.015769, SortExportsNonSeekfree=0.008296, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.336338, SortExportsSeekfree=0.002213, BuildDependencyMap=0.006638, SerializeImportMap=0.009403, SerializeExportMap=0.005532, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.313441, SerializeExports=0.337169, SerializeBulkData=0.004981, MoveFile=0.504784, UnaccountedTime=0.524424, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_6, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Cube_Idle.uasset, AutoPackageBackupDelegate=13.170615, FlushAsyncLoading=0.007194, FlushStreamingFunc=0.029594, BlockTillAllRequestsFinished=0.004150, ResetLoadersForSaveUnMarkAllObjects=0.248659, TagPackageExports=0.042871, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.251703, GatherLocalizableTextData=0.307851, MarkNames=0.005256, SerializeSummary=0.011615, SerializeNames=0.047021, SerializeGatherableTextData=0.001382, BuildExportMap=0.016045, SortExportsNonSeekfree=0.008021, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.333019, SortExportsSeekfree=0.002488, BuildDependencyMap=0.006638, SerializeImportMap=0.005532, SerializeExportMap=0.004977, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.097978, SerializeExports=0.331637, SerializeBulkData=0.004426, MoveFile=0.583339, UnaccountedTime=0.514466, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
DDCTransactionIdAD0D31F7479737AE758F0197AC956959_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_2EDDF33C44588AD288D05B9395996B13, StartTime=2016.05.24-22.08.03, HierarchicalDDC=, DataSize=170213, Duration=1.775462, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
DDCTransactionId963D6AD1411E0F44FEA403A1C4D548D6_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_C6E1B3294A753AF4010C3E83F97CD46B, StartTime=2016.05.24-22.08.32, HierarchicalDDC=, DataSize=170213, Duration=1.730654, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_7, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_Idle_Auto1.uasset, AutoPackageBackupDelegate=12.716722, FlushAsyncLoading=0.007745, FlushStreamingFunc=0.052832, BlockTillAllRequestsFinished=0.006083, ResetLoadersForSaveUnMarkAllObjects=0.162639, TagPackageExports=0.040106, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.252254, GatherLocalizableTextData=0.315871, MarkNames=0.005811, SerializeSummary=0.011615, SerializeNames=0.049789, SerializeGatherableTextData=0.001382, BuildExportMap=0.016041, SortExportsNonSeekfree=0.008851, SortExportsSeekfreeConstructor=0.057254, SortExportsSeekfreeInner=0.347957, SortExportsSeekfree=0.002488, BuildDependencyMap=0.008576, SerializeImportMap=0.006087, SerializeExportMap=0.005253, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.180066, SerializeExports=0.372574, SerializeBulkData=0.006359, MoveFile=0.578914, UnaccountedTime=0.110917, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
SavePackageTransactionId5D1C52C84D07802B008124B3D021E994_8, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Models/NewFolder/RiggingShooterCharacter2_dot_3_Anim_Armature_Walk_Auto1.uasset, AutoPackageBackupDelegate=15.522499, FlushAsyncLoading=0.006914, FlushStreamingFunc=0.029873, BlockTillAllRequestsFinished=0.004426, ResetLoadersForSaveUnMarkAllObjects=0.154339, TagPackageExports=0.075508, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.517786, GatherLocalizableTextData=0.457488, MarkNames=0.005532, SerializeSummary=0.010237, SerializeNames=0.047296, SerializeGatherableTextData=0.001382, BuildExportMap=0.016045, SortExportsNonSeekfree=0.008021, SortExportsSeekfreeConstructor=0.007745, SortExportsSeekfreeInner=0.604358, SortExportsSeekfree=0.007745, BuildDependencyMap=0.017978, SerializeImportMap=0.005532, SerializeExportMap=0.004701, SerializeDependencyMap=0.002764, SerializeStringAssetReferenceMap=0.003044, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.261661, SerializeExports=0.483487, SerializeBulkData=0.004977, MoveFile=0.446703, UnaccountedTime=0.075232, RunGuid=RunID019F1C4D4EC3A5CE64C2D190FF4EE6C7
