CookerStat, GenerateAssetRegistry=0.022680, Initialize=0.114508, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_0, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/RiggingShooterCharacter2_dot_3_Skeleton.uasset, AutoPackageBackupDelegate=0.098471, FlushAsyncLoading=0.004422, FlushStreamingFunc=0.048131, BlockTillAllRequestsFinished=0.004426, ResetLoadersForSaveUnMarkAllObjects=0.221550, TagPackageExports=0.024617, BeginCacheForCookedPlatformData=0.001386, SerializeImports=0.226252, GatherLocalizableTextData=0.068322, MarkNames=0.006083, SerializeSummary=0.012722, SerializeNames=0.040106, SerializeGatherableTextData=0.001661, BuildExportMap=0.012722, SortExportsNonSeekfree=0.005532, SortExportsSeekfreeConstructor=0.063341, SortExportsSeekfreeInner=0.096254, SortExportsSeekfree=0.002492, BuildDependencyMap=0.007465, SerializeImportMap=0.030149, SerializeExportMap=0.006638, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001937, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.041764, SerializeExports=0.285447, SerializeBulkData=0.012446, MoveFile=0.453617, UnaccountedTime=0.483487, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_1, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/RiggingShooterCharacter2_dot_3_Anim_Armature_InAir.uasset, AutoPackageBackupDelegate=0.090722, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.023510, BlockTillAllRequestsFinished=0.003319, ResetLoadersForSaveUnMarkAllObjects=0.110086, TagPackageExports=0.050619, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.250872, GatherLocalizableTextData=0.334404, MarkNames=0.006914, SerializeSummary=0.011340, SerializeNames=0.049233, SerializeGatherableTextData=0.001382, BuildExportMap=0.017978, SortExportsNonSeekfree=0.009406, SortExportsSeekfreeConstructor=0.008021, SortExportsSeekfreeInner=0.360403, SortExportsSeekfree=0.002488, BuildDependencyMap=0.007469, SerializeImportMap=0.006363, SerializeExportMap=0.004981, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.378165, SerializeExports=0.343807, SerializeBulkData=0.004701, MoveFile=0.464402, UnaccountedTime=0.471316, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_2, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/RiggingShooterCharacter2_dot_3_Anim_Armature_Idle.uasset, AutoPackageBackupDelegate=0.103999, FlushAsyncLoading=0.004150, FlushStreamingFunc=0.043150, BlockTillAllRequestsFinished=0.003871, ResetLoadersForSaveUnMarkAllObjects=0.115894, TagPackageExports=0.047576, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.262491, GatherLocalizableTextData=0.287380, MarkNames=0.006087, SerializeSummary=0.010509, SerializeNames=0.049233, SerializeGatherableTextData=0.001106, BuildExportMap=0.018533, SortExportsNonSeekfree=0.009678, SortExportsSeekfreeConstructor=0.007194, SortExportsSeekfreeInner=0.352103, SortExportsSeekfree=0.002768, BuildDependencyMap=0.007745, SerializeImportMap=0.005808, SerializeExportMap=0.004705, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.398635, SerializeExports=0.348508, SerializeBulkData=0.004701, MoveFile=0.478785, UnaccountedTime=0.489295, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_3, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/RiggingShooterCharacter2_dot_3_Anim_Armature_Walk.uasset, AutoPackageBackupDelegate=0.096533, FlushAsyncLoading=0.003871, FlushStreamingFunc=0.065278, BlockTillAllRequestsFinished=0.004701, ResetLoadersForSaveUnMarkAllObjects=0.121150, TagPackageExports=0.084087, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.290424, GatherLocalizableTextData=0.290703, MarkNames=0.006083, SerializeSummary=0.010233, SerializeNames=0.049513, SerializeGatherableTextData=0.001106, BuildExportMap=0.018530, SortExportsNonSeekfree=0.009682, SortExportsSeekfreeConstructor=0.007194, SortExportsSeekfreeInner=0.378657, SortExportsSeekfree=0.002488, BuildDependencyMap=0.007745, SerializeImportMap=0.006087, SerializeExportMap=0.004977, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.411633, SerializeExports=0.429831, SerializeBulkData=0.004422, MoveFile=0.549596, UnaccountedTime=0.479337, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_4, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/IdleWalk.uasset, AutoPackageBackupDelegate=0.088789, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.022404, BlockTillAllRequestsFinished=0.003044, ResetLoadersForSaveUnMarkAllObjects=0.107594, TagPackageExports=0.021849, BeginCacheForCookedPlatformData=0.001106, SerializeImports=0.210490, GatherLocalizableTextData=0.067767, MarkNames=0.006359, SerializeSummary=0.009406, SerializeNames=0.024062, SerializeGatherableTextData=0.001106, BuildExportMap=0.023790, SortExportsNonSeekfree=0.004701, SortExportsSeekfreeConstructor=0.006638, SortExportsSeekfreeInner=0.334401, SortExportsSeekfree=0.002492, BuildDependencyMap=0.006638, SerializeImportMap=0.007469, SerializeExportMap=0.005253, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.231846, SerializeExports=0.249490, SerializeBulkData=0.004977, MoveFile=0.508107, UnaccountedTime=0.489570, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_5, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/RiggingCharacterAnimBP.uasset, AutoPackageBackupDelegate=0.089340, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.023510, BlockTillAllRequestsFinished=0.003319, ResetLoadersForSaveUnMarkAllObjects=0.114512, TagPackageExports=5.864918, BeginCacheForCookedPlatformData=0.003595, SerializeImports=6.138746, GatherLocalizableTextData=4.278090, MarkNames=0.050064, SerializeSummary=0.014108, SerializeNames=0.272445, SerializeGatherableTextData=0.155721, BuildExportMap=0.161808, SortExportsNonSeekfree=0.670467, SortExportsSeekfreeConstructor=0.009958, SortExportsSeekfreeInner=6.953869, SortExportsSeekfree=0.004150, BuildDependencyMap=0.060853, SerializeImportMap=0.035960, SerializeExportMap=0.073574, SerializeDependencyMap=0.008851, SerializeStringAssetReferenceMap=0.001658, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.982250, SerializeExports=19.873060, SerializeBulkData=0.012998, MoveFile=0.940975, UnaccountedTime=1.064334, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_6, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/RiggingShooterCharacter2_dot_3_PhysicsAsset.uasset, AutoPackageBackupDelegate=0.093214, FlushAsyncLoading=0.003871, FlushStreamingFunc=0.057254, BlockTillAllRequestsFinished=0.005256, ResetLoadersForSaveUnMarkAllObjects=0.116725, TagPackageExports=0.103448, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.369530, GatherLocalizableTextData=1.104444, MarkNames=0.008848, SerializeSummary=0.012450, SerializeNames=0.038721, SerializeGatherableTextData=0.001386, BuildExportMap=0.016041, SortExportsNonSeekfree=0.094872, SortExportsSeekfreeConstructor=0.007469, SortExportsSeekfreeInner=0.406317, SortExportsSeekfree=0.003040, BuildDependencyMap=0.011895, SerializeImportMap=0.011064, SerializeExportMap=0.016872, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001661, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.126403, SerializeExports=2.028547, SerializeBulkData=0.009678, MoveFile=0.581402, UnaccountedTime=0.476852, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_7, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/RiggingShooterCharacter2_dot_3.uasset, AutoPackageBackupDelegate=0.091553, FlushAsyncLoading=0.003595, FlushStreamingFunc=0.022128, BlockTillAllRequestsFinished=0.002768, ResetLoadersForSaveUnMarkAllObjects=0.108976, TagPackageExports=0.510041, BeginCacheForCookedPlatformData=0.001658, SerializeImports=0.711404, GatherLocalizableTextData=0.292636, MarkNames=0.007190, SerializeSummary=0.011619, SerializeNames=0.068594, SerializeGatherableTextData=0.001382, BuildExportMap=0.025172, SortExportsNonSeekfree=0.007469, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=1.063231, SortExportsSeekfree=0.002764, BuildDependencyMap=0.007469, SerializeImportMap=0.008296, SerializeExportMap=0.005532, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.381488, SerializeExports=3.010456, SerializeBulkData=0.061128, MoveFile=0.521105, UnaccountedTime=0.496764, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_8, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/GunMat.uasset, AutoPackageBackupDelegate=0.089616, FlushAsyncLoading=0.003874, FlushStreamingFunc=0.022955, BlockTillAllRequestsFinished=0.003044, ResetLoadersForSaveUnMarkAllObjects=0.108700, TagPackageExports=0.031810, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.239808, GatherLocalizableTextData=0.248384, MarkNames=0.005528, SerializeSummary=0.009131, SerializeNames=0.024617, SerializeGatherableTextData=0.003871, BuildExportMap=0.015490, SortExportsNonSeekfree=0.006363, SortExportsSeekfreeConstructor=0.007190, SortExportsSeekfreeInner=0.319466, SortExportsSeekfree=0.002492, BuildDependencyMap=0.006914, SerializeImportMap=0.006363, SerializeExportMap=0.005808, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.406380, SerializeExports=0.148531, SerializeBulkData=0.004977, MoveFile=0.502571, UnaccountedTime=0.501469, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_9, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/Material.uasset, AutoPackageBackupDelegate=0.089340, FlushAsyncLoading=0.003599, FlushStreamingFunc=0.021573, BlockTillAllRequestsFinished=0.003319, ResetLoadersForSaveUnMarkAllObjects=0.108149, TagPackageExports=0.032637, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.220448, GatherLocalizableTextData=0.255018, MarkNames=0.005532, SerializeSummary=0.009127, SerializeNames=0.034574, SerializeGatherableTextData=0.004150, BuildExportMap=0.019360, SortExportsNonSeekfree=0.007745, SortExportsSeekfreeConstructor=0.007194, SortExportsSeekfreeInner=0.316422, SortExportsSeekfree=0.002768, BuildDependencyMap=0.006363, SerializeImportMap=0.005808, SerializeExportMap=0.005256, SerializeDependencyMap=0.001382, SerializeStringAssetReferenceMap=0.001106, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.389504, SerializeExports=0.125576, SerializeBulkData=0.004701, MoveFile=0.444211, UnaccountedTime=0.472702, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
SavePackageTransactionId369DAE8241448C553130C780D95BEA37_10, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Models/Character/Material_001.uasset, AutoPackageBackupDelegate=0.093214, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.035957, BlockTillAllRequestsFinished=0.005532, ResetLoadersForSaveUnMarkAllObjects=0.120871, TagPackageExports=0.031810, BeginCacheForCookedPlatformData=0.001382, SerializeImports=0.249766, GatherLocalizableTextData=0.260551, MarkNames=0.006363, SerializeSummary=0.010509, SerializeNames=0.024620, SerializeGatherableTextData=0.004146, BuildExportMap=0.016320, SortExportsNonSeekfree=0.006914, SortExportsSeekfreeConstructor=0.007194, SortExportsSeekfreeInner=0.304252, SortExportsSeekfree=0.002488, BuildDependencyMap=0.007745, SerializeImportMap=0.006359, SerializeExportMap=0.005532, SerializeDependencyMap=0.001106, SerializeStringAssetReferenceMap=0.001382, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.613713, SerializeExports=0.143830, SerializeBulkData=0.004981, MoveFile=0.510041, UnaccountedTime=0.474084, RunGuid=RunID5A85F4FF413F54A5C1D8E58CA268F64A
