CookerStat, GenerateAssetRegistry=0.023235, Initialize=0.116721, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5A35F28A4152A9AFA613FAAAB2E6B768__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=458, Duration=1.460146, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1217289945F018A69AC3EE96F43AFC53__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1955, Duration=1.461804, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_882731194B4DB45BAC760890DFD5A724__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=787, Duration=1.302764, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CCFE603A426CB4DDC084DF88F5130E9A__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=737, Duration=1.358636, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0CC5C4374FACC7547381BCBE011147AB__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1417, Duration=1.720145, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_15BD624F40358470AF57829ED6E8A52D__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=4899, Duration=1.775742, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_605F40E6440E3899473CF795246B0878__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=449, Duration=1.505505, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_63A6BB954DF0F8A9158382B4B685FA32__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1805, Duration=1.912102, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5AECE3AE42A82AC00AB57DB51138D8BD__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=3503, Duration=1.627486, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BDD8DE284786DCB5940B68AD43562A7B__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=461, Duration=1.519889, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D4BE059940E5C802727DDE9374DFD718__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=461, Duration=1.322955, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
