CookerStat, GenerateAssetRegistry=0.023514, Initialize=0.129171, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_948103A142EC00A9ADE51FBE4BE9F4B8__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=458, Duration=1.772147, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D5D154CA4678FC70ACE0D7AD093198C9__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=458, Duration=1.566634, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_823B489A448A111BCF83E0B1A36DA2AD__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1955, Duration=1.729272, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_03FE96D04A14148CB1DF078914A4D54E__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=787, Duration=1.748912, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_023C66A9492E953EA87751AA8E2B225D__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=737, Duration=1.705486, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30D89DF44A81CE104C77308D9C7EAE6E__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1417, Duration=1.873653, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_301C05E04AB20AA63EAD188AACB4825D__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=4899, Duration=1.439400, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D30F0BB47BCC7F9491E05AAE7584D55__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=449, Duration=1.491677, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_73F80E764BB5FC074FDC2195A78A8DFA__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1805, Duration=1.532339, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C6570804251E152B93D21A2306CDC6F__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=3391, Duration=1.391828, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_78DC9D98440F95994DCE909846A945DF__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=461, Duration=1.466230, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D36E99204E40390AA11899AE470A7D02__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=461, Duration=1.673676, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7FC73B104F99811E83C6EE97D75BE001__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1765, Duration=1.631636, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5CC46A4D4B0C773C5BFA1AB9ABC752C1__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1583, Duration=1.575489, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2EBFC290442584288B82FA8D05242DDA__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=3177, Duration=1.502741, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5EE3D4CA45921CA1338730903DB17D82__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=561, Duration=1.793165, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E244187B44C24D2F9D7C14BCA4C26E2E__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=589, Duration=1.559999, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_125A427246CAF30118188AAAD3F40C3A__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1231, Duration=1.188528, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_94B83F5A4C1F1D15C6F0C5BD8A900C76__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=17463, Duration=1.663167, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_96803D8E4734098C59F487B76CBD6120__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=11247, Duration=1.810592, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CF3D487F4DD8492EBC0CF0819C986B36__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=10549, Duration=1.456551, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BB55605A43D8BA543B774D87B53A7D2A__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=16235, Duration=1.732867, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC5EF5324E163401ACE506BFA2181876__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=2409, Duration=1.486976, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B2C52EF42ADB7C4925BBB8A40F450B3__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1979, Duration=1.418933, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E159522943FE25662B0FD293F5F1A1C3__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=1801, Duration=1.711294, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
