CookerStat, GenerateAssetRegistry=0.022128, Initialize=0.115063, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0C260D2E49F839153F8A0384B351BE7A__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=458, Duration=7.713131, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7640CBC64BEF9E61A89A599EBFA1B6A2__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=458, Duration=7.334746, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3AA6F5746CE56DB90C721A94F310A98__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=2107, Duration=1.570784, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DDDE0C15465901AAA68F04A7873A14AC__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=787, Duration=1.365826, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_77C2E557437A0D1267F6BEB8DD6D8B0B__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=851, Duration=1.268465, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3077681420C1123CD7099B41D8861EB__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=2035, Duration=1.302760, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_729384144E5DB3AE295575935DC79668__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=5255, Duration=1.673955, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CD5F521F46D0612B70A0E9B99CE860CA__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=449, Duration=1.556400, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_72D010054005F32B1E1ECC80997D516C__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=1805, Duration=1.692765, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_159EE081405E5D883F1529AEA5B95FE8__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=3391, Duration=1.450464, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E6A05F0045A7D32E894EDF8F61325DA2__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=461, Duration=1.493614, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
